"Player","Pos","Tm","X3PA","X2PA","FGA","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Dwyane Wade","SG","MIA",261,699,960,233,69,216,301,59,38,166,118,2393887
"Moritz Wagner","C","LAL",77,94,171,53,17,68,24,11,13,39,57,1762080
"Dion Waiters","SG","MIA",289,189,478,44,7,109,121,29,9,64,72,11550000
"Kemba Walker","PG","CHO",731,953,1684,450,52,309,484,102,34,211,131,1.2e+07
"Lonnie Walker","SG","SAS",13,33,46,10,0,17,9,7,3,4,7,2357160
"John Wall","PG","WAS",169,383,552,175,15,101,279,49,29,121,71,19169800
"Tyrone Wallace","PG","LAC",19,198,217,57,20,81,42,21,7,36,83,1349383
"Taurean Waller-Prince","SF","ATL",315,279,594,116,22,177,118,53,19,100,141,2526840
"Brad Wanamaker","PG","BOS",39,66,105,28,3,38,56,12,2,19,34,838464
"T.J. Warren","SF","PHO",180,431,611,124,31,143,64,51,29,52,119,11750000
"Julian Washburn","SF","MEM",24,24,48,4,8,33,14,13,2,7,16,3206640
"Yuta Watanabe","SF","MEM",16,35,51,10,4,27,8,4,1,6,11,3206640
"Thomas Welsh","C","DEN",7,6,13,2,0,4,5,0,0,1,3,3206640
"Russell Westbrook","PG","OKC",411,1062,1473,451,109,698,784,142,33,325,245,35654150
"Derrick White","PG","SAS",142,401,543,123,35,212,263,67,47,97,145,1667160
"Okaro White","PF","WAS",2,0,2,0,1,1,0,0,0,0,0,264919
"Hassan Whiteside","C","MIA",16,664,680,243,257,560,56,46,136,97,192,25434263
"Andrew Wiggins","SF","MIN",348,861,1209,296,83,269,184,70,48,138,153,25467250
"Alan Williams","PF","BRK",1,12,13,4,4,15,3,1,0,1,2,3206640
"C.J. Williams","SG","MIN",16,19,35,1,1,7,12,6,0,5,16,3206640
"Johnathan Williams","C","LAL",2,108,110,48,48,51,13,8,7,16,62,3206640
"Kenrich Williams","SF","NOP",156,123,279,19,55,164,83,45,19,36,95,838464
"Lou Williams","SG","LAC",291,847,1138,485,40,182,402,57,11,181,80,8e+06
"Marvin Williams","PF","CHO",382,270,652,86,76,331,92,71,61,47,156,14087500
"Robert Williams","C","BOS",0,51,51,15,27,54,7,9,40,10,36,1654440
"Troy Williams","SF","SAC",44,54,98,15,12,47,11,10,8,9,37,122741
"D.J. Wilson","PF","MIL",127,124,251,47,45,177,52,18,20,32,85,2534280
"Justise Winslow","SF","MIA",256,493,749,137,63,292,282,72,19,142,177,3448926
"Christian Wood","PF","TOT",26,91,117,56,17,66,8,7,10,17,17,1512601
"Delon Wright","PG","TOT",168,390,558,150,68,198,248,88,30,77,103,2536898
"Guerschon Yabusele","PF","BOS",28,49,77,22,23,30,15,8,7,15,32,2667600
"Nick Young","SG","DEN",8,1,9,0,0,1,2,0,1,2,4,311070
"Thaddeus Young","PF","IND",146,695,841,135,192,331,204,123,36,123,194,13764045
"Trae Young","PG","ATL",482,774,1256,414,64,237,653,72,15,308,140,5356440
"Cody Zeller","C","CHO",22,323,345,141,110,223,102,38,41,62,164,13528090
"Tyler Zeller","C","TOT",1,29,30,18,11,13,4,1,3,4,20,106974
"Ante Zizic","C","CLE",0,331,331,132,108,212,53,13,22,61,113,1952760
"Ivica Zubac","C","TOT",0,379,379,126,115,247,63,14,51,70,137,1544951
