"Player","Pos","Tm","X3PA","X2PA","FGA","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Devonte' Graham","PG","CHO",121,95,216,46,10,53,121,23,2,30,48,988464
"Treveon Graham","SG","BRK",128,63,191,22,23,84,34,13,7,17,68,1512601
"Jerami Grant","PF","OKC",293,530,823,221,96,321,79,61,100,67,214,8653847
"Jerian Grant","PG","ORL",110,110,220,40,19,79,156,44,6,51,78,2639314
"Donte Grantham","SF","OKC",2,0,2,0,0,0,0,0,0,0,0,3206640
"Danny Green","SG","TOR",435,195,630,44,60,257,126,73,53,75,171,1e+07
"Draymond Green","PF","GSW",165,257,422,91,60,421,454,95,70,169,197,17469565
"Gerald Green","SG","HOU",441,137,578,68,30,152,40,33,27,55,126,2393887
"JaMychal Green","PF","TOT",176,300,476,101,104,305,50,45,34,87,193,7866667
"Jeff Green","PF","WAS",320,367,687,206,57,252,137,43,39,101,160,2393887
"Blake Griffin","PF","DET",522,819,1341,550,100,465,402,52,28,253,199,32088932
"Daniel Hamilton","SG","ATL",23,37,60,6,10,37,22,6,1,16,19,1349383
"Dusty Hannahs","SG","MEM",5,7,12,2,0,1,5,1,0,1,1,47371
"Tim Hardaway","SG","TOT",477,516,993,276,33,189,159,54,8,105,141,17325000
"James Harden","PG","HOU",1028,881,1909,858,66,452,586,158,58,387,244,30431854
"Maurice Harkless","SF","POR",120,268,388,73,77,192,74,67,53,45,163,10837079
"Montrezl Harrell","C","LAC",17,871,888,414,184,351,162,71,110,132,255,6e+06
"Devin Harris","PG","DAL",200,147,347,134,12,100,122,35,16,56,133,2393887
"Gary Harris","SG","DEN",242,395,637,144,41,119,127,55,19,68,113,16517857
"Joe Harris","SG","BRK",386,362,748,133,52,239,181,38,17,121,182,8333333
"Tobias Harris","PF","TOT",393,861,1254,307,69,576,229,51,37,151,184,14800000
"Andrew Harrison","PG","TOT",25,28,53,18,6,14,24,4,2,12,34,2e+05
"Shaquille Harrison","PG","CHI",89,337,426,123,33,189,139,89,30,60,124,1311265
"Josh Hart","SG","LAL",274,190,464,80,35,213,93,64,40,58,147,1655160
"Isaiah Hartenstein","PF","HOU",6,35,41,14,21,26,15,7,12,13,56,838464
"Udonis Haslem","C","MIA",12,21,33,4,3,24,2,0,0,3,9,2393887
"Gordon Hayward","PF","BOS",231,404,635,187,51,271,244,62,23,105,104,31214295
"John Henson","C","MIL",31,36,67,10,16,55,14,7,11,12,16,11327466
"Juan Hernangomez","PF","DEN",181,133,314,86,64,201,55,27,24,37,94,2166360
"Willy Hernangomez","C","CHO",39,256,295,144,117,194,60,16,20,58,98,1544951
"Mario Hezonja","SF","NYK",152,312,464,114,28,211,88,57,8,88,110,6500000
"Isaiah Hicks","PF","NYK",0,8,8,5,2,5,2,1,3,1,5,3206640
"Buddy Hield","SG","SAC",651,709,1360,193,106,306,205,58,33,146,202,3833760
"Haywood Highsmith","SF","PHI",5,5,10,2,0,5,2,1,0,1,1,3206640
"Nene Hilario","C","HOU",3,113,116,47,34,89,26,18,15,11,87,3651480
"George Hill","PG","TOT",153,223,376,85,39,109,135,52,8,51,102,1.9e+07
"Solomon Hill","SF","NOP",101,77,178,32,34,99,55,23,10,31,80,12252928
"Aaron Holiday","PG","IND",127,135,262,50,5,62,87,21,13,40,71,1911960
"Jrue Holiday","SG","NOP",363,796,1159,271,75,259,518,109,54,210,148,25976111
"Justin Holiday","SG","TOT",465,312,777,106,46,277,146,121,36,104,164,4384616
"John Holland","SF","CLE",0,0,0,0,0,0,0,0,0,0,0,3206640
"Rondae Hollis-Jefferson","SF","BRK",49,438,487,183,83,227,96,44,27,68,107,2470357
"Richaun Holmes","C","PHO",0,365,365,175,115,216,60,42,79,52,194,1600520
"Rodney Hood","SG","TOT",236,435,671,155,25,132,126,59,12,55,146,3472887
"Al Horford","C","BOS",203,520,723,95,120,338,283,59,86,102,126,28928710
"Danuel House","SF","HOU",178,74,252,71,25,115,40,21,11,35,80,3206640
"Dwight Howard","C","WAS",0,69,69,48,24,59,4,7,4,16,34,18919725
"Kevin Huerter","SG","ATL",353,304,657,56,60,185,214,65,25,109,155,2250960
"Isaac Humphries","C","ATL",11,10,21,0,4,7,0,1,0,0,7,47371
"R.J. Hunter","SG","BOS",10,3,13,2,1,2,3,1,0,0,3,3206640
"Chandler Hutchison","SF","CHI",50,159,209,38,31,154,34,23,6,25,59,1991520
"Serge Ibaka","C","TOR",169,708,877,177,156,445,99,29,103,114,211,21666667
"Andre Iguodala","SF","GSW",144,158,302,67,48,204,216,61,51,52,95,1.6e+07
"Ersan Ilyasova","PF","MIL",160,221,381,74,94,208,52,32,20,48,172,7e+06
"Joe Ingles","PF","UTA",483,319,802,123,35,295,469,98,20,193,180,13045455
"Andre Ingram","SG","LAL",3,3,6,0,1,1,0,1,0,1,0,76236
"Brandon Ingram","SF","LAL",94,635,729,289,41,226,154,28,31,129,149,5757120
"Kyrie Irving","PG","BOS",434,807,1241,245,71,264,464,103,34,172,167,20099189
"Jonathan Isaac","PF","ORL",266,345,611,135,99,312,80,59,98,75,143,4969080
"Wesley Iwundu","SF","ORL",79,195,274,103,37,147,73,28,22,44,123,1378242
"Demetrius Jackson","PG","PHI",6,9,15,4,2,1,5,2,0,1,4,92857
"Frank Jackson","PG","NOP",169,278,447,73,25,109,69,25,2,48,92,1378242
"Jaren Jackson","PF","MEM",142,447,589,197,73,199,64,52,82,98,220,5915040
"Josh Jackson","SG","PHO",225,616,841,213,66,281,183,74,56,173,209,6041520
"Justin Jackson","SF","TOT",245,240,485,79,44,168,96,32,14,29,99,2807880
"Reggie Jackson","PG","DET",471,576,1047,236,45,171,344,55,9,148,208,17043478
"LeBron James","SF","LAL",327,768,1095,418,57,408,454,72,33,197,94,35654150
"Amile Jefferson","PF","ORL",0,16,16,8,6,15,3,3,3,1,8,3206640
"John Jenkins","SG","TOT",58,47,105,18,6,31,22,0,2,9,10,99290
"Jonas Jerebko","PF","GSW",188,167,355,80,72,216,96,27,18,43,137,2165481
"Alize Johnson","PF","IND",2,14,16,8,4,15,1,1,3,0,7,838464
"Amir Johnson","C","PHI",40,117,157,41,47,100,60,16,13,45,99,2393887
"B.J. Johnson","SF","TOT",7,11,18,2,2,6,0,2,0,2,4,94742
"James Johnson","PF","MIA",149,230,379,70,22,154,135,35,27,74,114,14651700
"Stanley Johnson","SF","TOT",215,225,440,64,34,183,88,60,14,81,114,3940402
"Tyler Johnson","PG","TOT",260,266,526,127,34,139,166,54,27,77,97,19245370
"Wesley Johnson","SF","TOT",76,52,128,19,12,60,23,14,12,18,63,6134520
"Nikola Jokic","C","DEN",270,936,1206,352,228,637,580,108,55,248,228,24605181
"Damian Jones","C","GSW",0,74,74,37,31,44,28,12,25,16,63,1544951
"Derrick Jones","SF","MIA",91,233,324,122,96,144,37,46,42,43,123,1512601
"Jalen Jones","SF","CLE",28,34,62,27,11,23,7,9,2,8,27,3206640
"Jemerrio Jones","SF","LAL",10,23,33,2,16,33,13,7,5,5,10,3206640
"Terrence Jones","PF","HOU",2,2,4,1,0,4,0,0,0,1,1,198580
"Tyus Jones","PG","MIN",126,320,446,69,23,111,327,81,5,47,78,2444053
"DeAndre Jordan","C","TOT",0,446,446,264,225,677,156,42,73,153,167,22900000
"Cory Joseph","PG","IND",171,377,548,43,39,240,321,94,22,80,131,7945000
"Frank Kaminsky","C","CHO",139,159,298,107,39,124,63,12,12,41,68,3627842
"Enes Kanter","C","TOT",34,649,683,197,257,402,116,32,26,118,167,18622514
"Luke Kennard","SG","DET",269,251,520,61,12,171,114,26,10,57,92,3275280
"Michael Kidd-Gilchrist","PF","CHO",47,285,332,123,88,158,61,32,39,43,156,1.3e+07
"George King","SF","PHO",0,0,0,0,0,1,0,0,0,0,0,3206640
"Maxi Kleber","PF","DAL",218,168,386,74,90,239,70,36,78,54,143,1378242
"Brandon Knight","PG","TOT",129,131,260,34,10,49,71,21,2,30,62,14631250
"Kevin Knox","PF","NYK",364,550,914,226,61,274,82,43,24,114,175,3739920
"Furkan Korkmaz","SG","PHI",144,101,245,44,16,91,52,29,2,25,62,1740000
"Luke Kornet","PF","NYK",193,90,283,46,28,107,54,27,42,25,41,1619000
"Kosta Koufos","C","SAC",0,153,153,24,52,125,36,15,18,27,68,8739500
"Rodions Kurucs","SF","BRK",184,265,449,92,56,190,52,41,25,77,146,1618320
"Kyle Kuzma","PF","LAL",422,665,1087,250,60,322,178,41,26,133,170,1689840
"Skal Labissiere","PF","TOT",13,36,49,17,9,34,11,5,6,11,29,1544951
"Jeremy Lamb","SG","CHO",330,649,979,260,65,369,172,88,32,80,140,7488372
"Zach LaVine","SG","CHI",321,814,1135,375,40,254,283,60,26,215,140,19500000
"Jake Layman","SF","POR",181,243,424,71,56,161,53,31,30,46,116,1544951
"T.J. Leaf","PF","IND",31,152,183,31,43,82,24,9,19,12,35,2407560
"Courtney Lee","SG","TOT",55,74,129,21,9,45,37,21,3,14,32,12253780
"Damion Lee","SG","GSW",68,59,127,22,8,56,13,13,0,11,28,3206640
"Walt Lemon","PG","CHI",5,82,87,11,4,23,30,11,1,10,14,3206640
"Alex Len","C","ATL",204,444,648,216,158,266,86,27,69,97,200,4350000
"Kawhi Leonard","SF","TOR",302,827,1129,426,78,361,199,106,24,121,87,23114067
"Meyers Leonard","C","POR",111,131,242,51,49,184,75,13,9,43,105,10595506
"Jon Leuer","PF","DET",11,102,113,31,27,70,14,12,4,23,60,10002681
"Caris LeVert","SF","BRK",154,329,483,123,35,116,156,42,14,69,77,1702800
"Damian Lillard","PG","POR",643,890,1533,513,68,303,551,88,34,212,148,27977689
"Jeremy Lin","PG","TOT",187,354,541,210,22,157,231,47,13,124,144,13768421
"Shaun Livingston","PG","GSW",2,208,210,51,42,75,114,31,27,38,74,8307692
"Zach Lofton","SG","DET",1,0,1,0,0,0,0,1,0,1,0,3206640
"Kevon Looney","C","GSW",10,337,347,105,194,223,123,46,53,51,211,1567007
"Brook Lopez","C","MIL",512,274,786,133,33,363,98,51,179,82,189,3382000
"Robin Lopez","C","CHI",31,504,535,123,140,146,89,11,78,96,124,14357750
"Kevin Love","PF","CLE",147,136,283,114,33,206,48,6,5,42,54,24119025
"Kyle Lowry","PG","TOR",453,286,739,194,41,271,564,91,31,182,166,31200000
"Jordan Loyd","PG","TOR",8,10,18,11,1,8,6,0,0,2,5,3206640
"Kalin Lucas","PG","DET",1,0,1,2,0,3,1,0,0,0,1,3206640
"Timothe Luwawu-Cabarrot","SF","TOT",116,102,218,41,11,86,26,19,8,21,73,1544951
"Tyler Lydon","PF","DEN",10,8,18,3,7,11,6,2,0,4,10,1874640
"Trey Lyles","PF","DEN",200,295,495,116,44,202,87,30,23,68,93,3364249
"Scott Machado","PG","LAL",1,5,6,1,0,0,3,1,0,0,2,47371
"Shelvin Mack","PG","TOT",130,273,403,84,18,86,183,47,4,66,84,2029463
"Daryl Macon","SG","DAL",11,16,27,7,2,10,7,1,0,6,8,3206640
"J.P. Macura","SG","CHO",4,5,9,0,0,3,2,0,0,0,0,3206640
"Ian Mahinmi","C","WAS",16,88,104,61,48,80,25,25,16,21,84,15944154
"Boban Marjanovic","C","TOT",10,250,260,131,87,178,54,16,27,59,90,7e+06
"Lauri Markkanen","PF","CHI",332,463,795,195,74,396,75,37,33,85,122,4536120
"Jarell Martin","PF","ORL",57,47,104,11,11,62,18,3,8,11,51,2416222
"Frank Mason","PG","SAC",64,105,169,57,6,37,84,16,4,36,34,1378242
"Yante Maten","PF","MIA",1,3,4,0,1,2,0,1,0,0,0,3206640
"Luc Mbah a Moute","PF","LAC",6,12,18,5,2,5,2,1,1,2,8,4320500
"Tahjere McCall","SG","BRK",1,2,3,1,0,1,0,0,0,0,2,47371
"Patrick McCaw","SG","TOT",28,35,63,15,7,41,29,23,2,17,38,786000
"CJ McCollum","SG","POR",445,798,1243,192,62,220,207,55,28,106,172,25759766
"T.J. McConnell","PG","PHI",42,377,419,37,28,146,258,79,17,91,105,1600520
"Doug McDermott","SF","IND",206,216,422,79,17,92,67,18,8,42,104,7333334
"JaVale McGee","C","LAL",12,629,641,152,195,371,52,47,148,108,208,2393887
"Rodney McGruder","SG","MIA",225,236,461,72,60,178,112,36,12,64,115,1544951
"Alfonzo McKinnie","SF","GSW",118,157,275,48,81,166,31,18,15,30,134,1349383
"Ben McLemore","SG","SAC",41,23,64,12,3,14,4,6,3,5,22,5460000
"Jordan McRae","SG","WAS",35,95,130,35,6,34,30,13,7,15,26,3206640
"Jodie Meeks","SG","TOR",18,21,39,1,1,11,8,1,1,2,5,3454500
"Salah Mejri","C","DAL",34,78,112,32,36,95,35,10,26,21,55,1567007
"De'Anthony Melton","PG","PHO",95,161,256,28,25,109,159,68,23,75,113,949000
"Chimezie Metu","PF","SAS",2,56,58,17,9,27,13,6,2,15,14,838464
"Khris Middleton","SF","MIL",474,674,1148,258,50,411,331,80,7,174,172,1.3e+07
"C.J. Miles","SF","TOT",203,108,311,58,13,82,36,26,15,30,79,8333333
"Darius Miller","SF","NOP",364,120,484,71,14,114,146,40,23,59,165,2205000
"Malcolm Miller","SF","TOR",21,5,26,4,1,4,1,1,1,1,5,457418
"Patty Mills","PG","SAS",404,259,663,103,24,158,245,49,10,93,129,11571429
"Paul Millsap","PF","DEN",159,506,665,249,153,352,141,83,54,95,183,29730769
"Shake Milton","SG","PHI",44,43,87,7,9,26,18,8,8,6,29,3206640
"Nikola Mirotic","PF","TOT",318,224,542,124,60,279,55,31,34,48,107,12500000
"Donovan Mitchell","SG","UTA",519,1011,1530,396,59,257,322,106,31,218,208,3111480
"Naz Mitrou-Long","SG","UTA",11,9,20,2,1,5,15,1,1,8,10,3206640
"Malik Monk","SG","CHO",330,256,586,102,16,121,117,37,19,86,106,3447480
"Greg Monroe","C","TOT",5,184,189,72,67,105,24,14,8,32,66,2165481
"E'Twaun Moore","SG","NOP",176,356,532,59,35,92,102,40,8,59,112,8808685
"Eric Moreland","PF","TOT",1,6,7,0,4,16,4,1,1,5,9,239035
"Jaylen Morris","SG","MIL",3,7,10,2,0,5,4,2,0,1,1,3206640
"Marcus Morris","PF","BOS",389,455,844,173,76,382,109,43,25,92,181,5375000
"Markieff Morris","PF","TOT",203,281,484,92,61,204,79,36,22,54,175,8600000
"Monte Morris","PG","DEN",227,475,702,81,35,159,297,73,4,52,102,1349383
"Donatas Motiejunas","PF","SAS",0,6,6,2,2,1,1,0,1,3,6,59820
"Johnathan Motley","PF","LAC",3,70,73,40,18,33,11,5,3,16,27,3206640
"Emmanuel Mudiay","PG","NYK",210,530,740,186,33,163,228,43,19,140,103,4294480
"Jamal Murray","PG","DEN",414,759,1173,223,65,252,363,67,27,158,153,3499800
"Dzanan Musa","SG","BRK",10,12,22,2,1,4,2,2,0,4,1,1632240
"Mike Muscala","PF","TOT",256,105,361,85,57,187,76,22,38,48,130,5e+06
"Sviatoslav Mykhailiuk","SF","TOT",89,51,140,20,9,27,37,14,1,21,25,1487694
"Abdel Nader","SF","OKC",100,115,215,36,14,102,20,20,12,26,68,1378242
"Larry Nance","C","CLE",98,381,479,134,168,384,214,100,40,97,192,2272391
"Shabazz Napier","PG","BRK",228,207,435,138,18,82,143,41,16,66,67,1942422
"Raul Neto","PG","UTA",60,101,161,33,6,56,93,14,4,35,49,2150000
"Georges Niang","PF","UTA",105,76,181,24,11,76,35,10,6,23,57,1512601
"Joakim Noah","C","MEM",1,212,213,109,58,180,89,20,31,50,96,18530000
"Nerlens Noel","C","OKC",0,276,276,79,127,198,45,66,96,48,166,1757429
"Dirk Nowitzki","PF","DAL",205,171,376,50,5,153,35,9,18,18,76,5e+06
"Frank Ntilikina","PG","NYK",115,167,282,30,12,75,121,30,14,56,104,4155720
"James Nunnally","SF","TOT",25,9,34,4,0,5,7,1,0,1,10,655632
"Jusuf Nurkic","C","POR",29,797,826,365,243,505,233,71,103,168,250,11111111
"David Nwaba","SG","CLE",75,187,262,85,41,122,54,36,17,29,106,1512601
"Royce O'Neale","SF","UTA",176,167,343,42,22,263,124,54,24,70,172,1378242
"Kyle O'Quinn","C","IND",12,124,136,21,29,90,56,9,25,31,68,4449000
"Semi Ojeleye","PF","BOS",89,69,158,39,24,62,23,10,4,19,43,1378242
"Jahlil Okafor","C","NOP",5,357,362,89,82,196,40,15,40,52,96,1567007
"Elie Okobo","PG","PHO",132,158,290,47,12,86,127,32,7,69,109,1238464
"Josh Okogie","SG","MIN",215,293,508,162,41,177,91,88,33,63,166,2160720
"Victor Oladipo","SG","IND",216,372,588,141,21,181,186,60,11,82,72,2.1e+07
"Kelly Olynyk","PF","MIA",319,245,564,185,72,303,140,53,37,114,183,12137527
"Cedi Osman","SF","CLE",374,470,844,181,45,312,195,60,11,114,195,2775000
"Kelly Oubre","SF","TOT",338,504,842,244,71,254,84,84,59,103,181,3208630
"Zaza Pachulia","C","DET",4,189,193,124,99,166,91,31,17,57,151,2393887
"Jabari Parker","PF","TOT",195,554,749,184,79,342,152,46,30,151,145,2e+07
"Tony Parker","PG","CHO",51,412,463,124,14,69,207,21,7,75,53,5e+06
"Chandler Parsons","SF","MEM",94,88,182,25,4,66,43,19,5,32,45,24107258
"Patrick Patterson","PF","OKC",137,82,219,30,42,105,31,16,13,22,46,5451600
"Justin Patton","C","PHI",2,5,7,2,2,4,3,2,0,0,5,2667600
"Chris Paul","PG","HOU",355,365,720,203,36,229,473,114,18,152,146,35654150
"Cameron Payne","PG","TOT",84,139,223,41,13,59,106,28,9,45,64,3263295
"Elfrid Payton","PG","NOP",105,307,412,74,49,171,320,44,17,112,81,3e+06
"Gary Payton","PG","WAS",2,6,8,0,1,1,4,3,1,1,2,85458
"Theo Pinson","SG","BRK",46,27,73,22,4,32,21,6,0,18,15,3206640
"Mason Plumlee","C","DEN",10,432,442,198,165,359,243,66,76,126,252,12917808
"Miles Plumlee","C","ATL",0,48,48,30,16,23,17,6,4,10,14,12500000
"Jakob Poeltl","C","SAS",0,290,290,92,178,232,93,29,68,48,124,2947320
"Quincy Pondexter","SF","SAS",18,40,58,42,8,38,24,11,1,13,24,2165481
"Otto Porter","SF","TOT",256,387,643,96,54,260,120,82,31,65,108,26011913
"Bobby Portis","PF","TOT",191,437,628,97,109,294,72,35,20,74,145,2494346
"Dwight Powell","C","DAL",127,359,486,254,140,271,112,44,50,67,201,9631250
"Norman Powell","SG","TOR",170,230,400,75,16,123,91,39,13,65,96,9367200
"Alex Poythress","PF","ATL",23,58,81,29,29,47,17,4,10,13,47,3206640
"Zhou Qi","PF","HOU",0,1,1,0,0,0,0,0,0,0,0,506134
"Ivan Rabb","PF","MEM",15,197,212,69,70,136,54,17,14,35,90,1378242
"Chasson Randle","PG","WAS",115,102,217,62,10,46,97,25,3,43,91,869094
"Julius Randle","PF","NOP",195,894,1089,487,162,472,229,52,45,208,246,8641000
"J.J. Redick","SG","PHI",605,422,1027,255,20,166,206,32,17,101,129,12250000
